EmployeeID,recorddate_key,birthdate_key,orighiredate_key,terminationdate_key,age,length_of_service,city_name,department_name,job_title,store_name,gender_short,gender_full,termreason_desc,termtype_desc,STATUS_YEAR,STATUS,BUSINESS_UNIT
1318,12/31/2006 0:00,1/03/1954,8/28/1989,1/01/1900,52,17,Vancouver,Executive,CEO,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1319,12/31/2006 0:00,1/03/1957,8/28/1989,1/01/1900,49,17,Vancouver,Executive,VP Stores,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1320,12/31/2006 0:00,1/02/1955,8/28/1989,1/01/1900,51,17,Vancouver,Executive,Legal Counsel,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1321,12/31/2006 0:00,1/02/1959,8/28/1989,1/01/1900,47,17,Vancouver,Executive,VP Human Resources,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1322,12/31/2006 0:00,1/09/1958,8/31/1989,1/01/1900,48,17,Vancouver,Executive,VP Finance,35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1323,12/31/2006 0:00,1/09/1962,8/31/1989,1/01/1900,44,17,Vancouver,Executive,"Exec Assistant, VP Stores",35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1325,12/31/2006 0:00,1/13/1964,9/02/1989,1/01/1900,42,17,Vancouver,Executive,"Exec Assistant, Legal Counsel",35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1328,12/31/2006 0:00,1/17/1956,9/05/1989,1/01/1900,50,17,Vancouver,Executive,CHief Information Officer,35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1329,12/31/2006 0:00,1/23/1967,9/08/1989,1/01/1900,39,17,Terrace,Store Management,Store Manager,32,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1330,12/31/2006 0:00,1/25/1967,9/09/1989,1/01/1900,39,17,Terrace,Meats,Meats Manager,32,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1331,12/31/2006 0:00,1/28/1965,9/10/1989,1/01/1900,41,17,Nanaimo,Store Management,Store Manager,18,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1332,12/31/2006 0:00,2/05/1955,9/15/1989,1/01/1900,51,17,Vancouver,Executive,"Exec Assistant, Human Resources",35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1334,12/31/2006 0:00,2/06/1961,9/15/1989,1/01/1900,45,17,Vancouver,Executive,"Exec Assistant, Finance",35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1335,12/31/2006 0:00,2/07/1962,9/16/1989,1/01/1900,44,17,Vancouver,Recruitment,"Director, Recruitment",35,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1338,12/31/2006 0:00,2/16/1949,9/20/1989,2/16/2009,57,17,Vancouver,Training,"Director, Training",35,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,HEADOFFICE
1339,12/31/2006 0:00,2/19/1949,9/22/1989,2/19/2014,57,17,Nelson,Store Management,Store Manager,19,F,Female,Not Applicable,Not Applicable,2006,ACTIVE,STORES
1340,12/31/2006 0:00,2/19/1949,9/22/1989,2/19/2009,57,17,Kelowna,Store Management,Store Manager,16,M,Male,Not Applicable,Not Applicable,2006,ACTIVE,STORES
